Pigmento Blanco (TiO2),Extender (CaCO3),Ligante (Resina Acrílica),Coalescente,Dispersante,Aditivo Antimicrobiano,Otros Aditivos,Agua,Tipo de Pintura,Proveedor Pigmento Blanco,Estado Final,Resistencia al Fregado (Ciclos),Viscosidad Final (KU),Poder Cubriente (m²/L),Brillo (60°),Estabilidad (meses),L,a,b
395.14,193.7,461.15,12.2,3.82,1.11,8.1,291.27,Mate,Proveedor C,Éxito,1554.0,91.2,16.45,11.0,23.1,85.5,2.58,-3.27
423.82,133.72,381.31,15.5,8.66,2.4,9.16,152.1,Mate,Proveedor A,Éxito,1530.0,91.6,20.71,11.0,24.9,93.88,-4.99,1.74
124.15,265.24,413.13,6.75,8.85,1.17,9.87,73.03,Satinado,Proveedor B,Falla - Bajo Poder Cubriente,1675.0,92.8,7.66,37.0,19.8,87.01,-2.49,1.53
416.4,200.91,539.49,16.7,5.71,1.52,4.5,276.4,Brillante,Proveedor A,Éxito,1548.0,91.4,17.25,75.0,23.0,86.43,3.49,3.57
480.88,145.42,318.21,16.48,3.53,0.27,6.4,178.36,Mate,Proveedor B,Éxito,1491.0,91.5,17.85,9.0,14.6,97.82,3.54,-1.32
391.0,136.48,215.14,8.39,8.96,2.2,11.8,123.21,Brillante,Proveedor C,Éxito,1234.0,91.3,16.57,64.0,25.6,95.82,2.98,2.42
376.52,195.58,448.54,15.93,1.56,0.56,4.59,197.8,Satinado,Proveedor A,Éxito,1676.0,91.7,16.6,22.0,23.4,96.94,-3.95,-4.92
399.12,141.21,388.63,6.51,5.96,2.11,9.5,158.37,Satinado,Proveedor B,Éxito,1443.0,91.7,19.38,36.0,23.8,93.14,-2.22,1.68
382.63,231.93,329.26,7.87,6.88,0.71,9.37,139.96,Mate,Proveedor C,Éxito,1498.0,91.8,16.98,20.0,25.1,90.3,-1.15,-2.72
443.06,228.27,463.98,18.06,8.54,1.9,10.29,173.58,Brillante,Proveedor B,Éxito,1648.0,91.8,18.32,42.0,26.6,96.98,2.0,1.22
461.29,171.39,547.58,11.15,2.84,0.17,13.33,113.84,Brillante,Proveedor B,Éxito,1638.0,93.3,20.71,63.0,14.8,91.18,3.17,-4.0
386.9,104.51,514.54,11.59,4.41,0.8,8.58,290.72,Satinado,Proveedor C,Éxito,1763.0,91.2,16.09,42.0,18.9,91.94,2.26,-2.15
353.71,223.08,526.1,19.56,8.43,0.2,13.25,276.32,Mate,Proveedor C,Éxito,1587.0,91.3,19.57,21.0,16.6,88.75,2.05,-3.88
418.2,176.38,355.66,8.24,2.79,2.37,1.8,120.66,Brillante,Proveedor C,Éxito,1491.0,92.3,18.56,63.0,25.5,96.55,-4.88,1.95
432.24,121.54,482.0,14.23,6.09,1.01,14.34,67.16,Brillante,Proveedor C,Éxito,1481.0,93.7,19.58,54.0,21.9,90.68,-0.19,1.41
108.0,219.67,472.35,13.38,5.98,2.89,1.97,227.28,Mate,Proveedor C,Falla - Bajo Poder Cubriente,1455.0,91.5,7.83,11.0,25.8,96.32,-1.07,2.08
359.53,204.98,389.06,7.11,4.96,2.87,14.15,130.94,Satinado,Proveedor C,Éxito,1460.0,92.1,18.9,36.0,24.4,85.92,-1.09,-3.44
460.28,160.72,538.51,6.84,1.89,1.41,10.59,106.79,Brillante,Proveedor A,Éxito,1595.0,93.5,21.28,46.0,24.1,91.27,-1.2,-2.52
455.99,124.9,261.35,13.63,6.88,2.5,4.94,223.29,Mate,Proveedor A,Éxito,1500.0,91.0,20.12,24.0,29.5,88.69,-4.99,1.21
397.53,111.34,463.98,13.07,3.12,1.65,9.5,185.21,Brillante,Proveedor C,Éxito,1640.0,91.7,19.02,54.0,25.7,88.88,2.87,4.85
366.92,198.15,471.32,11.0,5.52,0.52,7.65,167.3,Satinado,Proveedor C,Éxito,1574.0,91.9,19.71,21.0,15.8,90.91,4.6,-3.86
452.78,176.22,437.09,16.33,5.47,1.28,8.96,106.08,Satinado,Proveedor A,Éxito,1404.0,92.7,19.62,46.0,18.5,85.74,4.92,0.39
430.83,158.95,291.01,16.03,1.41,0.33,14.12,166.75,Brillante,Proveedor C,Falla - Baja Estabilidad,1269.0,91.6,17.16,62.0,3.3,89.02,3.29,-3.71
480.51,204.65,203.84,8.91,6.92,2.93,6.4,72.66,Brillante,Proveedor A,Éxito,1261.0,92.4,22.36,19.0,27.9,86.6,2.5,3.91
590.26,209.71,480.02,8.17,6.74,0.16,2.8,65.28,Mate,Proveedor A,Falla - Viscosidad Alta,1749.0,106.8,20.78,8.0,22.1,88.19,4.01,-2.43
427.01,384.11,132.07,11.27,9.76,1.2,7.99,241.09,Satinado,Proveedor A,Falla - Baja Adhesión,815.0,91.4,20.77,35.0,20.2,91.42,3.93,-0.99
505.96,168.97,333.0,16.53,6.2,0.43,9.85,54.49,Satinado,Proveedor C,Falla - Viscosidad Alta,1479.0,111.4,20.66,27.0,16.5,94.15,2.75,1.39
451.79,153.63,451.1,10.07,1.94,0.54,12.58,92.11,Brillante,Proveedor B,Éxito,1478.0,93.6,19.18,56.0,20.4,94.12,-4.06,-4.32
468.64,149.4,338.95,7.09,5.55,2.64,4.34,278.58,Brillante,Proveedor B,Éxito,1378.0,91.0,20.76,54.0,26.5,94.71,-0.17,-1.41
352.8,170.25,324.63,12.49,8.02,1.04,7.27,175.89,Satinado,Proveedor C,Éxito,1374.0,91.3,16.35,18.0,18.8,94.11,-2.75,-0.31
352.92,230.12,329.38,18.16,6.65,2.5,13.04,276.37,Satinado,Proveedor A,Éxito,1436.0,91.0,19.58,21.0,28.9,92.91,4.32,-3.64
322.76,136.14,426.11,19.43,6.06,0.45,4.48,296.36,Mate,Proveedor A,Éxito,1544.0,91.0,14.69,12.0,16.8,88.27,3.5,3.67
316.44,228.06,269.46,7.7,4.75,0.9,9.95,252.03,Satinado,Proveedor C,Éxito,1362.0,91.0,14.33,44.0,15.8,97.93,2.46,3.76
445.61,211.72,596.41,6.29,3.02,1.27,3.5,65.29,Mate,Proveedor B,Éxito,1710.0,95.6,18.86,19.0,23.6,88.02,1.18,3.63
427.57,101.56,381.17,7.99,1.76,1.21,12.44,147.52,Satinado,Proveedor C,Éxito,1515.0,92.0,19.47,24.0,19.8,90.54,3.47,-4.1
377.77,188.36,427.62,10.3,7.09,2.21,9.57,118.38,Satinado,Proveedor B,Éxito,1521.0,92.2,15.77,30.0,25.8,94.58,-0.07,4.41
396.88,255.56,59.29,16.5,4.38,0.95,1.83,283.12,Brillante,Proveedor A,Falla - Baja Adhesión,312.0,91.1,19.55,54.0,24.8,90.02,-1.78,4.55
496.4,146.12,551.77,13.79,7.34,1.56,13.68,210.13,Mate,Proveedor B,Éxito,1626.0,91.7,19.7,15.0,18.3,94.04,1.36,-4.91
489.48,100.59,486.73,18.59,5.77,2.44,4.77,88.82,Satinado,Proveedor C,Éxito,1590.0,93.2,22.36,25.0,27.1,94.87,-2.95,1.45
424.91,152.27,420.51,7.27,1.33,2.74,12.75,163.02,Satinado,Proveedor C,Éxito,1737.0,92.0,19.54,36.0,17.0,88.07,3.46,0.21
416.25,160.21,364.38,15.8,1.51,2.23,13.33,215.02,Satinado,Proveedor B,Éxito,1585.0,91.4,17.56,18.0,25.1,85.5,-0.28,3.65
336.63,180.01,265.54,16.46,0.71,1.31,2.57,250.28,Brillante,Proveedor B,Éxito,1242.0,91.0,15.78,40.0,24.6,87.16,4.39,-3.22
329.54,168.0,331.82,17.71,2.92,2.94,11.89,227.61,Mate,Proveedor C,Éxito,1589.0,91.2,16.05,13.0,21.6,88.56,-2.67,-3.55
353.53,103.07,332.02,18.7,1.97,1.99,13.21,54.8,Brillante,Proveedor C,Éxito,1521.0,94.1,16.02,20.0,19.7,88.01,3.34,-3.68
433.96,318.81,57.52,13.36,8.64,2.06,10.03,120.43,Mate,Proveedor C,Falla - Baja Adhesión,806.0,91.6,19.47,25.0,27.0,96.4,-4.72,2.36
482.69,215.61,247.61,15.91,4.52,0.2,1.37,167.35,Mate,Proveedor C,Éxito,1420.0,91.5,19.36,27.0,18.7,86.32,-4.95,0.2
575.19,238.18,381.77,13.51,2.47,1.0,8.85,22.76,Satinado,Proveedor A,Falla - Viscosidad Alta,1570.0,114.0,19.04,42.0,20.5,91.25,1.51,-3.01
470.42,140.18,558.2,17.58,3.15,0.85,5.26,295.01,Satinado,Proveedor C,Éxito,1783.0,91.3,20.55,25.0,14.8,91.74,0.31,3.55
425.88,128.72,374.43,17.86,9.04,0.47,13.8,155.85,Satinado,Proveedor C,Éxito,1411.0,91.5,17.28,33.0,22.2,92.89,-1.06,4.85
439.92,249.39,371.11,10.02,4.69,2.62,12.34,253.58,Brillante,Proveedor B,Éxito,1529.0,91.3,19.31,64.0,21.8,92.22,-0.33,-0.55
307.27,223.85,463.9,14.74,7.24,2.86,11.61,133.06,Brillante,Proveedor B,Éxito,1623.0,92.1,14.67,19.0,22.1,85.34,2.21,2.5
378.01,305.22,137.83,12.47,9.73,1.38,13.83,129.73,Mate,Proveedor C,Falla - Baja Adhesión,743.0,91.5,17.12,20.0,25.1,87.88,-0.14,1.78
370.76,190.14,438.61,13.41,7.48,2.67,3.07,193.09,Mate,Proveedor B,Éxito,1494.0,91.5,16.08,10.0,24.4,97.56,-0.72,0.86
468.25,233.95,500.85,16.27,4.44,0.5,3.48,249.03,Brillante,Proveedor C,Éxito,1474.0,91.5,21.79,30.0,16.4,92.26,-0.72,0.14
241.97,301.41,459.25,5.29,2.04,2.91,3.98,180.3,Mate,Proveedor A,Falla - Bajo Poder Cubriente,1640.0,91.9,4.56,17.0,24.1,88.35,4.0,-1.58
487.95,200.85,368.26,13.8,6.18,0.46,9.92,48.11,Mate,Proveedor A,Falla - Viscosidad Alta,1520.0,114.0,21.6,23.0,20.2,86.62,-0.84,-0.07
221.28,313.49,265.96,15.71,5.1,1.53,5.03,298.83,Mate,Proveedor B,Falla - Bajo Poder Cubriente,1441.0,90.8,7.43,20.0,26.9,92.39,1.42,2.38
456.81,192.25,581.74,13.22,3.14,0.32,7.77,121.63,Mate,Proveedor B,Éxito,1819.0,93.2,20.24,24.0,13.9,95.43,-4.6,-2.51
398.51,220.11,555.57,12.41,0.99,0.37,15.86,70.57,Brillante,Proveedor A,Falla - Baja Estabilidad,1635.0,95.6,20.42,61.0,7.9,91.23,1.56,0.62
340.01,134.11,417.74,5.75,5.62,2.48,2.96,264.81,Brillante,Proveedor A,Éxito,1406.0,91.1,19.73,18.0,19.9,88.2,-3.14,-4.0
474.71,105.81,427.57,5.84,5.06,0.24,14.17,201.93,Brillante,Proveedor C,Éxito,1695.0,91.5,21.01,54.0,17.4,94.35,-4.32,0.02
370.0,184.12,397.78,14.88,3.34,2.63,2.83,182.56,Brillante,Proveedor A,Éxito,1454.0,91.6,20.23,54.0,20.8,97.76,4.33,-0.83
336.76,114.3,284.97,10.37,3.3,2.67,5.41,286.75,Brillante,Proveedor C,Éxito,1436.0,90.8,19.63,49.0,21.2,97.59,-4.64,1.65
319.67,104.55,569.34,5.57,9.98,2.64,7.0,202.31,Brillante,Proveedor C,Éxito,1786.0,91.5,18.81,25.0,27.3,94.94,-0.71,-2.35
379.79,239.04,249.0,13.45,2.58,2.35,3.06,58.8,Mate,Proveedor C,Éxito,1300.0,93.8,19.09,25.0,25.4,93.28,-0.26,3.91
389.3,205.3,282.92,12.49,2.57,0.27,19.95,171.84,Mate,Proveedor C,Falla - Baja Estabilidad,1558.0,91.5,19.02,19.0,2.9,85.8,-0.03,-4.54
488.47,247.48,498.16,5.39,4.02,0.65,3.57,147.54,Satinado,Proveedor B,Éxito,1518.0,92.5,21.82,34.0,21.0,88.02,3.19,-1.11
418.05,126.17,322.82,16.72,1.77,0.24,21.87,178.47,Mate,Proveedor B,Falla - Baja Estabilidad,1626.0,91.5,19.87,22.0,11.6,93.25,-4.6,0.58
306.52,106.64,391.82,9.57,9.18,0.42,13.05,231.12,Brillante,Proveedor A,Éxito,1555.0,91.0,15.69,34.0,25.2,85.18,2.46,2.46
373.72,305.64,179.27,12.59,0.67,1.31,12.43,174.82,Brillante,Proveedor C,Falla - Baja Adhesión,921.0,92.0,19.2,17.0,20.1,91.04,-2.1,4.99
327.38,168.07,444.09,6.99,5.49,2.79,4.01,248.25,Brillante,Proveedor C,Éxito,1575.0,91.2,16.62,66.0,27.2,87.29,1.11,2.58
388.65,176.15,289.52,15.59,8.34,0.14,13.43,143.27,Brillante,Proveedor C,Falla - Baja Estabilidad,1324.0,91.5,18.55,32.0,5.9,95.55,-4.17,-2.37
403.52,231.93,217.26,6.39,3.68,2.48,10.78,167.98,Satinado,Proveedor A,Éxito,1328.0,91.4,19.36,34.0,23.0,91.43,-0.59,4.73
469.2,214.28,332.92,7.25,6.92,0.88,10.61,168.52,Satinado,Proveedor C,Éxito,1623.0,91.6,20.95,44.0,18.6,85.38,2.63,0.14
386.1,152.04,454.91,10.1,9.13,2.08,3.32,179.11,Mate,Proveedor C,Éxito,1454.0,91.6,17.2,21.0,22.6,86.58,3.11,4.51
490.9,142.58,509.96,10.75,1.31,0.51,4.38,65.81,Satinado,Proveedor B,Éxito,1704.0,95.5,21.14,18.0,15.4,88.98,0.56,3.87
160.49,280.9,296.18,6.47,9.01,1.48,6.91,221.47,Satinado,Proveedor A,Falla - Bajo Poder Cubriente,1454.0,91.0,3.52,43.0,27.4,92.35,3.22,1.57
489.72,123.89,469.22,8.25,1.51,0.46,11.72,232.27,Brillante,Proveedor B,Éxito,1499.0,91.5,22.29,60.0,13.4,93.19,-0.32,-1.68
372.71,158.56,426.39,15.06,6.99,2.82,2.9,105.62,Mate,Proveedor C,Éxito,1657.0,92.4,17.96,10.0,22.3,90.27,2.91,-2.45
452.27,362.08,141.04,11.81,9.56,0.35,7.13,118.13,Mate,Proveedor A,Falla - Baja Adhesión,705.0,92.0,17.09,22.0,21.9,89.84,2.3,1.2
465.12,167.37,449.9,10.11,6.76,0.68,12.8,209.73,Satinado,Proveedor A,Éxito,1551.0,91.5,18.99,46.0,22.9,95.78,-2.55,-2.4
381.94,231.4,375.67,10.47,3.51,2.5,14.54,127.68,Brillante,Proveedor B,Éxito,1604.0,92.3,19.18,60.0,19.4,93.67,-1.25,-2.11
406.29,174.17,533.72,6.99,5.95,2.94,13.11,82.66,Brillante,Proveedor B,Éxito,1708.0,93.6,19.35,54.0,28.5,94.51,-4.34,1.97
499.32,248.38,402.06,9.12,3.17,0.63,9.1,106.82,Satinado,Proveedor B,Éxito,1372.0,93.1,19.08,44.0,17.4,93.75,3.15,-3.88
226.72,298.33,458.64,6.8,7.06,0.99,8.05,152.19,Satinado,Proveedor C,Falla - Bajo Poder Cubriente,1648.0,91.9,3.61,26.0,21.0,89.77,-0.19,-1.22
381.55,153.36,287.36,18.57,1.59,0.39,6.84,152.87,Satinado,Proveedor C,Éxito,1456.0,91.7,18.29,16.0,18.5,92.22,-3.53,-2.44
314.45,159.48,359.68,11.82,3.22,0.22,14.53,280.74,Satinado,Proveedor C,Éxito,1602.0,91.0,14.5,40.0,22.0,95.26,-4.68,1.14
323.77,246.73,465.68,17.5,5.54,1.95,2.47,175.48,Mate,Proveedor A,Éxito,1639.0,91.8,14.68,18.0,28.2,87.5,-0.21,1.37
409.98,202.83,591.12,15.01,4.01,0.99,2.14,81.47,Brillante,Proveedor B,Éxito,1868.0,94.3,19.03,72.0,24.6,88.37,-3.02,0.41
243.92,264.9,437.0,19.82,9.37,1.18,2.99,174.37,Satinado,Proveedor C,Falla - Bajo Poder Cubriente,1704.0,91.6,7.2,30.0,22.7,86.04,4.7,3.0
477.37,248.45,364.39,8.01,7.54,0.81,1.81,154.08,Mate,Proveedor C,Éxito,1538.0,91.8,19.97,29.0,19.7,90.09,1.38,3.51
478.66,184.47,220.18,16.9,9.03,2.41,7.25,256.22,Brillante,Proveedor C,Éxito,1290.0,90.9,18.52,28.0,29.0,93.07,-4.79,4.81
407.29,216.5,210.62,14.39,6.96,2.43,3.62,258.25,Mate,Proveedor C,Éxito,1443.0,90.9,18.08,29.0,25.3,87.57,4.09,1.46
443.89,155.19,497.83,10.45,8.87,1.21,9.03,286.32,Brillante,Proveedor C,Éxito,1720.0,91.2,20.49,78.0,26.3,89.92,0.61,-2.76
482.64,173.68,287.97,7.83,2.17,1.87,4.23,282.12,Mate,Proveedor C,Éxito,1315.0,91.0,20.11,14.0,20.4,95.54,-3.95,-2.78
365.07,121.03,323.38,8.45,9.07,1.86,14.66,264.47,Brillante,Proveedor A,Éxito,1474.0,90.9,19.18,42.0,24.0,95.12,2.22,-4.07
554.96,200.23,471.24,19.99,9.84,2.7,2.6,21.98,Brillante,Proveedor B,Falla - Viscosidad Alta,1441.0,116.5,21.23,44.0,30.1,90.6,-0.29,0.02
484.74,208.2,493.61,6.93,3.28,0.5,21.5,84.22,Brillante,Proveedor B,Falla - Baja Estabilidad,1717.0,94.0,21.59,16.0,2.7,86.02,1.96,2.98
378.62,170.47,293.47,7.8,3.98,0.62,1.92,101.85,Mate,Proveedor C,Éxito,1362.0,92.2,16.53,16.0,23.6,86.83,2.02,-3.39
420.07,206.79,563.1,7.03,9.86,2.57,4.16,190.22,Brillante,Proveedor C,Éxito,1623.0,91.8,21.24,63.0,31.3,94.0,-0.41,3.82
355.48,247.68,541.6,14.24,3.05,0.95,8.47,192.61,Brillante,Proveedor C,Éxito,1648.0,92.0,19.96,62.0,18.4,90.36,4.98,4.52
491.0,195.9,311.84,19.67,6.26,1.03,3.39,114.2,Satinado,Proveedor A,Éxito,1319.0,92.2,20.95,44.0,21.9,94.19,-1.08,-4.05
482.65,325.04,128.14,15.12,1.26,0.39,6.72,259.92,Brillante,Proveedor A,Falla - Baja Adhesión,460.0,91.5,17.9,57.0,19.5,93.98,0.18,4.68
433.28,213.45,237.01,11.47,8.29,2.31,13.77,175.69,Mate,Proveedor C,Éxito,1528.0,91.2,17.98,28.0,23.6,86.93,4.33,-4.2
356.12,214.4,431.69,8.74,8.05,0.14,13.09,200.32,Brillante,Proveedor B,Falla - Baja Estabilidad,1499.0,91.5,16.99,32.0,11.5,93.11,-4.18,-0.06
444.25,124.04,315.55,15.2,1.6,2.44,2.79,127.26,Brillante,Proveedor C,Éxito,1559.0,92.1,19.31,76.0,23.9,97.68,-4.29,-1.65
399.86,194.18,318.09,19.55,0.62,1.08,14.35,214.25,Mate,Proveedor B,Éxito,1470.0,91.4,16.16,11.0,13.7,85.36,-1.58,-2.37
353.82,135.97,399.3,7.0,1.3,2.85,13.65,205.21,Mate,Proveedor C,Éxito,1400.0,91.5,16.93,28.0,22.3,86.87,-1.27,3.76
381.36,348.62,142.78,15.1,7.3,0.15,5.4,166.71,Mate,Proveedor C,Falla - Baja Adhesión,342.0,91.3,20.59,22.0,16.0,97.42,-3.96,-2.34
336.5,115.67,532.52,18.42,6.91,0.42,6.61,52.03,Brillante,Proveedor B,Éxito,1774.0,94.3,15.16,27.0,25.0,86.45,-2.36,-3.69
437.62,140.99,431.91,12.78,5.21,0.75,5.59,230.82,Mate,Proveedor C,Éxito,1717.0,91.3,18.84,29.0,20.3,97.81,3.53,1.1
361.74,246.63,276.27,7.06,9.51,0.8,9.84,129.98,Brillante,Proveedor C,Éxito,1324.0,91.6,15.63,15.0,25.4,93.5,4.15,-1.13
384.54,228.82,361.07,13.69,4.45,0.03,18.75,120.89,Mate,Proveedor C,Falla - Baja Estabilidad,1464.0,92.3,18.22,26.0,8.5,87.71,0.18,1.0
350.28,152.42,360.63,18.71,9.02,0.31,1.91,169.93,Brillante,Proveedor B,Éxito,1449.0,91.4,18.66,60.0,25.1,87.37,-4.9,-3.21
300.79,279.81,189.4,18.21,8.25,0.14,8.27,75.82,Satinado,Proveedor B,Falla - Baja Adhesión,113.0,93.5,14.24,23.0,21.8,92.44,-3.18,3.99
472.05,246.22,456.01,18.24,0.83,2.87,13.14,242.02,Brillante,Proveedor C,Éxito,1698.0,91.6,21.11,69.0,23.2,95.58,3.55,4.11
357.63,284.89,97.12,15.96,9.54,1.95,13.43,78.32,Mate,Proveedor A,Falla - Baja Adhesión,635.0,91.8,18.92,5.0,29.0,87.18,-2.11,3.42
306.19,143.5,388.5,7.54,8.12,0.49,5.47,159.6,Brillante,Proveedor B,Éxito,1417.0,91.5,16.0,11.0,22.0,96.58,-4.83,-4.56
373.19,272.76,192.96,9.48,3.81,2.53,9.84,205.04,Satinado,Proveedor A,Falla - Baja Adhesión,798.0,91.5,16.87,38.0,26.2,89.54,-2.83,0.85
356.19,173.72,219.32,16.27,8.12,2.58,8.29,59.51,Mate,Proveedor B,Éxito,1362.0,92.3,17.2,17.0,25.7,86.71,-1.06,4.07
331.25,123.07,223.83,11.31,2.37,1.15,10.3,53.42,Brillante,Proveedor A,Éxito,1510.0,93.3,17.54,18.0,19.4,92.93,2.6,3.7
249.13,264.68,202.66,17.47,1.69,1.4,6.25,129.49,Mate,Proveedor A,Falla - Bajo Poder Cubriente,1299.0,91.6,2.2,13.0,19.9,93.91,3.98,0.27
569.61,188.34,396.54,8.93,3.19,1.79,5.1,73.4,Brillante,Proveedor A,Falla - Viscosidad Alta,1556.0,119.9,15.06,63.0,20.8,92.57,4.41,3.39
370.37,222.35,566.95,14.8,3.5,1.37,5.71,267.92,Satinado,Proveedor C,Éxito,1824.0,91.5,17.94,44.0,21.7,86.23,-4.44,-3.94
446.67,249.35,383.08,11.36,8.31,2.64,2.59,163.3,Mate,Proveedor B,Éxito,1527.0,91.7,21.26,10.0,27.8,91.22,-3.95,-2.58
351.17,149.33,208.43,14.77,7.23,0.1,19.56,249.54,Mate,Proveedor C,Falla - Baja Estabilidad,1196.0,90.8,15.32,7.0,6.8,93.0,4.61,2.57
330.92,197.15,574.7,8.01,4.32,0.32,18.48,238.87,Satinado,Proveedor B,Falla - Baja Estabilidad,1662.0,91.6,16.02,17.0,9.6,87.98,-3.59,2.01
486.03,218.33,231.56,7.76,9.09,2.81,2.42,36.06,Brillante,Proveedor C,Falla - Viscosidad Alta,1274.0,105.8,18.77,20.0,29.2,95.36,-4.64,-0.69
422.25,211.58,427.77,19.79,4.2,1.0,12.77,99.13,Mate,Proveedor B,Éxito,1546.0,93.0,20.0,22.0,17.9,90.75,0.33,-3.12
436.04,117.03,585.64,17.46,3.59,1.23,9.52,98.77,Satinado,Proveedor B,Éxito,1685.0,93.6,17.88,44.0,16.1,91.13,-4.58,-4.76
367.64,182.88,327.02,18.28,8.95,1.94,10.43,287.06,Brillante,Proveedor C,Éxito,1593.0,90.9,17.71,75.0,27.1,96.93,3.07,1.3
461.6,154.61,330.64,9.3,7.09,0.17,10.05,123.62,Mate,Proveedor A,Éxito,1359.0,91.9,19.05,25.0,23.2,94.71,-3.62,3.02
431.09,225.66,255.46,5.87,6.01,0.59,7.22,281.43,Brillante,Proveedor B,Éxito,1408.0,90.9,19.2,63.0,22.4,95.51,1.31,1.0
420.66,112.45,587.47,16.55,2.38,1.98,2.39,118.46,Brillante,Proveedor A,Éxito,1801.0,93.2,19.94,54.0,21.9,96.72,3.5,-0.63
352.66,163.38,462.71,11.3,7.74,0.67,4.7,243.95,Brillante,Proveedor C,Éxito,1438.0,91.2,15.28,29.0,22.1,96.41,4.7,-2.18
471.16,211.6,283.53,7.06,4.36,2.1,14.92,129.51,Mate,Proveedor A,Éxito,1272.0,92.0,21.23,18.0,22.2,90.97,0.13,1.66
491.92,146.5,257.67,11.18,6.31,0.29,8.63,164.88,Satinado,Proveedor B,Éxito,1435.0,91.4,18.67,45.0,23.1,88.89,-0.76,-4.06
384.78,221.89,372.76,8.95,1.08,1.7,3.78,295.5,Mate,Proveedor C,Éxito,1391.0,91.1,19.79,23.0,19.6,93.17,4.41,0.48
308.16,151.35,208.81,17.64,1.82,0.32,8.23,195.6,Satinado,Proveedor A,Éxito,1192.0,91.0,14.79,17.0,14.6,85.51,-4.18,2.21
303.87,214.28,502.63,13.33,6.33,1.67,4.44,245.92,Brillante,Proveedor B,Éxito,1544.0,91.4,18.29,36.0,27.0,87.19,-1.77,-1.1
101.26,253.93,355.56,18.03,1.24,0.5,3.85,186.17,Brillante,Proveedor A,Falla - Bajo Poder Cubriente,1424.0,91.7,6.81,58.0,14.8,87.61,-1.28,4.24
133.93,201.6,498.08,18.15,4.07,0.54,9.47,54.31,Mate,Proveedor C,Falla - Bajo Poder Cubriente,1492.0,95.2,7.24,14.0,18.1,96.7,-1.04,3.31
354.46,124.98,491.23,8.6,8.27,0.17,4.67,280.47,Satinado,Proveedor A,Éxito,1653.0,91.1,18.24,32.0,17.5,87.67,-0.17,-2.79
452.51,229.63,438.81,6.5,6.81,2.54,7.11,213.55,Brillante,Proveedor B,Éxito,1453.0,91.5,19.97,14.0,22.3,94.52,1.8,3.01
565.4,234.66,459.29,17.9,7.82,1.4,8.6,77.07,Satinado,Proveedor C,Falla - Viscosidad Alta,1706.0,105.6,16.07,29.0,27.2,97.64,4.21,3.03
470.03,248.04,346.07,17.57,4.06,2.74,13.2,115.15,Mate,Proveedor B,Éxito,1424.0,92.5,18.4,16.0,18.6,97.71,-1.84,-2.73
373.81,139.95,289.27,13.95,7.91,1.5,3.68,188.83,Brillante,Proveedor C,Éxito,1536.0,91.1,18.98,44.0,24.1,91.46,4.42,4.44
166.33,256.2,548.59,17.86,9.35,2.48,14.86,121.5,Brillante,Proveedor C,Falla - Bajo Poder Cubriente,1658.0,92.4,6.97,19.0,27.9,97.85,0.46,0.81
349.31,153.07,361.86,10.79,6.28,2.74,5.33,166.48,Brillante,Proveedor B,Éxito,1337.0,91.5,16.34,65.0,29.6,96.91,1.23,4.01
498.45,109.41,484.88,10.59,6.84,0.86,12.02,60.86,Brillante,Proveedor A,Éxito,1539.0,93.9,19.59,27.0,22.5,85.29,-0.28,-3.36
418.05,177.28,495.63,16.41,4.51,0.17,11.14,81.81,Satinado,Proveedor A,Éxito,1803.0,93.7,18.65,29.0,14.6,86.88,2.82,-0.75
359.87,248.88,506.47,16.71,6.29,0.12,11.92,162.16,Mate,Proveedor A,Éxito,1479.0,92.1,19.06,15.0,23.8,94.73,-0.55,5.0
340.21,153.66,210.01,7.12,2.98,0.3,3.91,192.35,Brillante,Proveedor C,Éxito,1323.0,91.1,16.33,55.0,22.4,88.5,4.51,2.58
407.72,217.82,201.29,19.78,3.94,0.89,3.66,235.57,Mate,Proveedor C,Éxito,1307.0,91.0,17.97,14.0,21.9,89.1,-2.5,-1.83
317.68,129.66,329.27,13.21,4.3,2.05,14.08,103.0,Satinado,Proveedor C,Éxito,1613.0,92.1,18.58,48.0,24.0,88.13,1.63,4.41
370.53,215.04,366.83,18.71,3.01,1.79,8.69,265.52,Satinado,Proveedor A,Éxito,1616.0,91.1,17.15,49.0,26.1,88.91,2.79,-1.09
380.68,113.27,549.62,10.88,9.04,2.53,14.15,86.51,Satinado,Proveedor A,Éxito,1585.0,92.9,17.45,20.0,23.6,95.41,-2.37,0.89
360.63,117.74,469.41,12.83,4.55,1.99,2.42,105.23,Brillante,Proveedor A,Éxito,1765.0,92.7,19.14,72.0,27.3,88.6,3.49,-3.87
334.66,130.22,396.67,17.76,7.54,0.37,10.99,86.09,Brillante,Proveedor A,Falla - Baja Estabilidad,1672.0,92.5,18.43,30.0,1.0,89.93,-1.34,-3.67
407.65,217.11,439.4,16.06,7.54,2.21,8.01,126.94,Mate,Proveedor A,Éxito,1684.0,92.2,16.92,27.0,25.9,85.45,1.43,-4.87
448.98,244.72,218.61,8.09,7.95,1.74,6.73,54.4,Satinado,Proveedor B,Éxito,1181.0,92.9,20.27,33.0,21.1,85.71,4.35,0.79
355.16,125.13,296.47,5.75,6.46,2.92,11.25,200.55,Brillante,Proveedor B,Éxito,1528.0,91.1,15.76,56.0,25.5,95.16,1.46,-2.0
